elapsed_time,movement_counter,adjusted_acceleration,max_acceleration,adjusted_spin,direction_change,direction_change_signal,ball_pos_x,ball_pos_y,ball_pos_z,ball_distance_traveled,movement_time,speed
0.768,6,0.1773712874101834,0.34095745592209736,13.061523000000001,0,1,1918.0,418.0,-814.0,0.0,0.112,1.1893
0.808,6,0.1773712874101834,0.34095745592209736,13.061523000000001,0,0,1918.0,418.0,-814.0,0.0,0.112,1.1893
0.811,6,0.1835017576134157,0.34095745592209736,13.061523000000001,0,0,1918.0,418.0,-814.0,0.0,0.112,1.1893
0.842,6,0.1835017576134157,0.34095745592209736,13.061523000000001,0,0,1913.0,475.0,-804.0,0.057,0.076,1.1893
0.855,6,0.1835017576134157,0.34095745592209736,13.061523000000001,0,1,1913.0,475.0,-804.0,0.0,0.076,1.1893
0.856,6,-0.023564251977189393,0.34095745592209736,13.061523000000001,0,1,1913.0,475.0,-804.0,0.0,0.076,1.1893
0.917,6,-0.023564251977189393,0.34095745592209736,13.061523000000001,0,1,1913.0,475.0,-804.0,0.0,0.076,1.1893
0.918,6,0.0018862196062499892,0.34095745592209736,13.061523000000001,0,1,1913.0,475.0,-804.0,0.0,0.076,1.1893
0.92,6,0.0018862196062499892,0.34095745592209736,13.061523000000001,0,1,1913.0,475.0,-804.0,0.0,0.076,1.1893
0.946,6,0.12195101287611619,0.34095745592209736,13.061523000000001,0,0,1913.0,475.0,-804.0,0.0,0.076,1.1893
0.991,6,0.03528227068787859,0.34095745592209736,13.061523000000001,0,0,1913.0,475.0,-804.0,0.0,0.076,1.1893
0.992,7,0.03528227068787859,0.0838307606301843,13.061523000000001,0,0,1889.0,478.0,-404.0,0.024,0.15,1.2903
1.029,7,0.03528227068787859,0.0838307606301843,13.061523000000001,0,0,1860.0,525.0,-553.0,0.055,0.037,1.2903
1.033,7,0.03528227068787859,0.0838307606301843,13.061523000000001,0,0,1860.0,525.0,-553.0,0.0,0.037,1.2903
1.037,7,0.03528227068787859,0.0838307606301843,13.061523000000001,0,1,1860.0,525.0,-553.0,0.0,0.037,1.2903
1.038,7,0.03764562044102769,0.0838307606301843,13.061523000000001,0,1,1860.0,525.0,-553.0,0.0,0.037,1.2903
1.081,7,0.014775325905397901,0.0838307606301843,13.061523000000001,0,1,1860.0,525.0,-553.0,0.0,0.037,1.2903
1.108,7,0.014775325905397901,0.0838307606301843,13.061523000000001,0,1,1860.0,525.0,-553.0,0.0,0.037,1.2903
1.126,7,0.0838307606301843,0.0838307606301843,13.061523000000001,0,1,1860.0,525.0,-553.0,0.0,0.037,1.2903
1.127,7,0.0838307606301843,0.0838307606301843,13.061523000000001,0,1,1860.0,525.0,-553.0,0.0,0.037,1.2903
1.142,8,0.0838307606301843,0.1178132279588371,13.061523000000001,0,1,1860.0,607.0,-624.0,0.082,0.113,3.288
1.17,8,0.0838307606301843,0.1178132279588371,13.061523000000001,0,1,1860.0,607.0,-624.0,0.0,0.113,3.288
