network_time,device_id,ax,ay,az,gx,gy,gz,mx,my,mz,qw,qx,qy,qz,posX,posY,posZ,timestamp,elapsed_time
171129381584896.0,01:05:0A0D,-0.064159744,0.027328512,-1.108934656,0.01245184,0.0065536,0.0131072,10.48576,-14.942208,-4.194304,-0.015261207,0.706208432,0.80809556,0.030656429,10.824,4.34,4.95,0.0,-1.7114701e-05
171129700352000.0,01:05:0A0D,-0.064290816,0.02719744,-1.109327872,0.01245184,0.00589824,0.0131072,10.48576,-14.942208,-4.194304,-0.015259691,0.70620904,0.80809519,0.030652913,10.824,4.34,4.95,0.0,0.000318767104
171130037684137.0,01:05:0A0D,-0.064290816,0.02719744,-1.109327872,0.01245184,0.00589824,0.0131072,10.48576,-14.942208,-4.194304,-0.015259691,0.70620904,0.80809519,0.030652913,2.284,2.879,6.181,0.0,0.000337332137
171130019119104.0,01:05:0A0D,-0.064094208,0.027131904,-1.109393408,0.01245184,0.00589824,0.0131072,41.94304,-34.340864,5.505024,-0.015258507,0.706209654,0.80809481,0.030649343,11.269,5.702,6.303,0.0,-1.8565033e-05
171130337886208.0,01:05:0A0D,-0.064356352,0.02686976,-1.109458944,0.01245184,0.00589824,0.0131072,41.94304,-34.340864,5.505024,-0.015257129,0.706210276,0.808094441,0.030645445,11.269,5.702,6.303,0.0,0.000318767104
171130676657562.0,01:05:0A0D,-0.064356352,0.02686976,-1.109458944,0.01245184,0.00589824,0.0131072,41.94304,-34.340864,5.505024,-0.015257129,0.706210276,0.808094441,0.030645445,2.286,2.876,6.183,0.0,0.000338771354
171130656653312.0,01:05:0A0D,-0.064356352,0.026804224,-1.1091968,0.01245184,0.00589824,0.0131072,42.991616,-3.670016,-32.768,-0.01525645,0.706210907,0.808094051,0.030641506,10.825,4.331,4.929,0.0,-2.000425e-05
171130975420416.0,01:05:0A0D,-0.064684032,0.026935296,-1.108410368,0.01245184,0.00589824,0.0131072,42.991616,-3.670016,-32.768,-0.015255871,0.706211542,0.80809366,0.030637519,10.825,4.331,4.929,0.0,0.000318767104
171131315628743.0,01:05:0A0D,-0.064684032,0.026935296,-1.108410368,0.01245184,0.00589824,0.0131072,42.991616,-3.670016,-32.768,-0.015255871,0.706211542,0.80809366,0.030637519,2.29,2.874,6.186,0.0,0.000340208327
171131294187520.0,01:05:0A0D,-0.06455296,0.02686976,-1.10821376,0.01245184,0.00589824,0.0131072,42.991616,-3.670016,-32.768,-0.015255639,0.706212159,0.808093249,0.030634225,10.819,4.322,4.918,0.0,-2.1441223e-05
171131612954624.0,01:05:0A0D,-0.06455296,0.026804224,-1.107951616,0.01245184,0.0065536,0.0131072,42.991616,-3.670016,-32.768,-0.015253161,0.706212864,0.808092885,0.030628828,10.819,4.322,4.918,0.0,0.000318767104
171131954608637.0,01:05:0A0D,-0.06455296,0.026804224,-1.107951616,0.01245184,0.0065536,0.0131072,42.991616,-3.670016,-32.768,-0.015253161,0.706212864,0.808092885,0.030628828,2.29,2.873,6.188,0.0,0.000341654013
171131931721728.0,01:05:0A0D,-0.064815104,0.02686976,-1.108410368,0.01245184,0.0065536,0.0131072,42.991616,-3.670016,-32.768,-0.015250787,0.706213571,0.808092517,0.030623386,10.815,4.325,4.914,0.0,-2.2886909e-05
171132250488832.0,01:05:0A0D,-0.064684032,0.027000832,-1.1091968,0.01245184,0.00589824,0.0131072,42.991616,-3.670016,-32.768,-0.015250844,0.706214189,0.808092097,0.030620217,10.815,4.325,4.914,0.0,0.000318767104
171132593572948.0,01:05:0A0D,-0.064684032,0.027000832,-1.1091968,0.01245184,0.00589824,0.0131072,42.991616,-3.670016,-32.768,-0.015250844,0.706214189,0.808092097,0.030620217,2.288,2.874,6.189,0.0,0.000343084116
171132569255936.0,01:05:0A0D,-0.064356352,0.026935296,-1.109393408,0.01179648,0.0065536,0.0131072,42.991616,-3.670016,-32.768,-0.015246472,0.706214925,0.808091647,0.030617269,2.288,2.874,6.189,0.0,-2.4317012e-05
171132888023040.0,01:05:0A0D,-0.064487424,0.026673152,-1.109000192,0.01245184,0.00589824,0.0131072,42.991616,-3.670016,-32.768,-0.015245758,0.70621555,0.808091256,0.030613542,2.288,2.874,6.189,0.0,0.000318767104
171133232553046.0,01:05:0A0D,-0.064487424,0.026673152,-1.109000192,0.01245184,0.00589824,0.0131072,42.991616,-3.670016,-32.768,-0.015245758,0.70621555,0.808091256,0.030613542,2.286,2.874,6.19,0.0,0.000344530006
