elapsed_time,ax,ay,az,gx,gy,gz,mx,my,mz
2.606,-1.6038818359375,0.07373046875,-0.341064453125,212.58544921875,-392.9443359375,-292.48046875,1.57470703125,-6.494140625,-15.22216796875
2.607,-1.6038818359375,0.07373046875,-0.341064453125,178.955078125,-395.99609375,-292.6025390625,1.8798828125,12.43896484375,-35.14404296875
2.609,-0.1263427734375,0.0550537109375,-0.28125,178.955078125,-395.99609375,-292.6025390625,1.8798828125,12.43896484375,-35.14404296875
2.651,-0.1263427734375,0.0550537109375,-0.28125,156.005859375,-371.52099609375,-320.86181640625,1.8798828125,12.43896484375,-35.14404296875
2.652,0.44140625,0.457275390625,-0.145751953125,156.005859375,-371.52099609375,-320.86181640625,-27.47802734375,32.26318359375,-35.99853515625
2.67,0.44140625,0.457275390625,-0.145751953125,156.005859375,-371.52099609375,-320.86181640625,-27.47802734375,32.26318359375,-35.99853515625
2.704,0.44140625,0.457275390625,-0.145751953125,156.005859375,-371.52099609375,-320.86181640625,-27.47802734375,32.26318359375,-35.99853515625
2.742,0.44140625,0.457275390625,-0.145751953125,180.2978515625,-364.56298828125,-347.47314453125,-27.47802734375,32.26318359375,-35.99853515625
2.743,1.25732421875,0.87646484375,-0.0106201171875,180.2978515625,-364.56298828125,-347.47314453125,-37.39013671875,32.11669921875,-27.7099609375
2.744,1.25732421875,0.87646484375,-0.0106201171875,184.99755859375,-360.04638671875,-359.9853515625,-37.39013671875,32.11669921875,-27.7099609375
2.787,1.25732421875,0.87646484375,-0.0106201171875,184.99755859375,-360.04638671875,-359.9853515625,-43.73779296875,27.38037109375,-17.15087890625
2.788,0.7314453125,-0.123779296875,0.4693603515625,192.7490234375,-346.5576171875,-331.4208984375,-43.73779296875,27.38037109375,-17.15087890625
2.815,0.7314453125,-0.123779296875,0.4693603515625,192.7490234375,-346.5576171875,-331.4208984375,-43.73779296875,27.38037109375,-17.15087890625
2.819,0.7314453125,-0.123779296875,0.4693603515625,192.7490234375,-346.5576171875,-331.4208984375,-43.73779296875,27.38037109375,-17.15087890625
2.831,0.7314453125,-0.123779296875,0.4693603515625,192.7490234375,-346.5576171875,-331.4208984375,-43.0419921875,21.44775390625,-8.48388671875
2.832,0.634521484375,-0.5374755859375,1.1165771484375,190.7958984375,-327.69775390625,-329.7119140625,-43.0419921875,21.44775390625,-8.48388671875
2.876,0.634521484375,-0.5374755859375,1.1165771484375,190.7958984375,-327.69775390625,-329.7119140625,-36.7919921875,13.57421875,-1.3427734375
2.877,0.1842041015625,-0.4197998046875,0.631591796875,186.21826171875,-321.47216796875,-322.75390625,-36.7919921875,13.57421875,-1.3427734375
2.88,0.1842041015625,-0.4197998046875,0.631591796875,186.21826171875,-321.47216796875,-322.75390625,-36.7919921875,13.57421875,-1.3427734375
2.895,0.1842041015625,-0.4197998046875,0.631591796875,186.21826171875,-321.47216796875,-322.75390625,-36.7919921875,13.57421875,-1.3427734375
2.921,0.1187744140625,-0.521728515625,0.6474609375,186.21826171875,-321.47216796875,-322.75390625,-36.7919921875,13.57421875,-1.3427734375
2.922,0.1187744140625,-0.521728515625,0.6474609375,185.11962890625,-320.00732421875,-320.12939453125,-27.34375,6.89697265625,1.91650390625
2.967,-0.2205810546875,-0.5980224609375,0.5654296875,187.01171875,-319.88525390625,-316.40625,-15.97900390625,3.7841796875,0.9521484375
3.002,-0.2205810546875,-0.5980224609375,0.5654296875,187.01171875,-319.88525390625,-316.40625,-15.97900390625,3.7841796875,0.9521484375
3.005,-0.2205810546875,-0.5980224609375,0.5654296875,187.01171875,-319.88525390625,-316.40625,-15.97900390625,3.7841796875,0.9521484375
3.012,-0.9476318359375,-1.1446533203125,0.7481689453125,187.01171875,-319.88525390625,-316.40625,-15.97900390625,3.7841796875,0.9521484375
