network_time,device_id,ax,ay,az,gx,gy,gz,mx,my,mz,qw,qx,qy,qz,posX,posY,posZ,timestamp,elapsed_time
170687825259106.0,01:05:09CE,-0.064749568,0.026345472,-1.10690304,0.01179648,0.00589824,0.0131072,24.90368,-11.79648,6.029312,-0.015199177,0.706229193,0.808082451,0.030554337,10.218,3.805,4.519,0.0,0.000254880354
170687889145856.0,01:05:09CE,1.0354688,-0.157351936,-0.253820928,-0.16449536,0.04980736,-0.13303808,24.90368,-11.79648,6.029312,0.575690797,0.304589197,0.802279211,-0.29167636,2.34,2.872,6.16,0.0,6.388675e-05
170688207912960.0,01:05:09CE,1.035534336,-0.171900928,-0.256835584,-0.18219008,0.02818048,-0.12713984,24.90368,-11.79648,6.029312,0.576153669,0.30449317,0.802283798,-0.290848874,2.34,2.872,6.16,0.0,0.000318767104
170688464234088.0,01:05:09CE,-0.064815104,0.026476544,-1.107689472,0.01179648,0.00589824,0.0131072,24.90368,-11.79648,6.029312,-0.015198468,0.706230785,0.808081163,0.030551965,10.221,3.803,4.52,0.0,0.000256321128
170688526680064.0,01:05:09CE,1.035403264,-0.189202432,-0.260374528,-0.20447232,0.00393216,-0.12255232,24.90368,-11.79648,6.029312,0.576544926,0.304342489,0.802385666,-0.28994886,11.229,5.696,6.212,0.0,6.2445976e-05
170688845447168.0,01:05:09CE,1.038352384,-0.203554816,-0.25526272,-0.21889024,-0.016384,-0.12189696,24.90368,-11.79648,6.029312,0.576870096,0.304160859,0.802562713,-0.289001142,11.229,5.696,6.212,0.0,0.000318767104
170689103212664.0,01:05:09CE,-0.06488064,0.026804224,-1.108410368,0.01179648,0.00589824,0.01376256,24.90368,-11.79648,6.029312,-0.015196921,0.706228029,0.808083643,0.030550835,10.226,3.805,4.521,0.0,0.000257765496
170689164214272.0,01:05:09CE,1.04660992,-0.208994304,-0.24510464,-0.21168128,-0.04194304,-0.12845056,24.90368,-11.79648,6.029312,0.577108575,0.304028339,0.802781677,-0.288054761,2.338,2.872,6.16,0.0,6.1001608e-05
170689482981376.0,01:05:09CE,1.055064064,-0.203751424,-0.2392064,-0.1835008,-0.0720896,-0.14483456,24.90368,-11.79648,6.029312,0.577245854,0.304039009,0.803006282,-0.28714094,2.338,2.872,6.16,0.0,0.000318767104
170689742173340.0,01:05:09CE,-0.06488064,0.027066368,-1.107361792,0.01179648,0.00524288,0.0131072,24.90368,-11.79648,6.029312,-0.015199473,0.706227234,0.808084158,0.030554322,10.232,3.808,4.522,0.0,0.000259191964
170689801748480.0,01:05:09CE,1.065680896,-0.192610304,-0.232194048,-0.13828096,-0.098304,-0.1671168,24.90368,-11.79648,6.029312,0.577282109,0.304260373,0.803200466,-0.286289197,2.337,2.874,6.161,0.0,5.957514e-05
170690120515584.0,01:05:09CE,1.077870592,-0.173539328,-0.234881024,-0.0917504,-0.12058624,-0.19070976,42.991616,-31.981568,-4.456448,0.577236256,0.304700811,0.803347846,-0.28549862,2.337,2.874,6.161,0.0,0.000318767104
170690381176319.0,01:05:09CE,-0.064946176,0.02686976,-1.106771968,0.01179648,0.00524288,0.01376256,42.991616,-31.981568,-4.456448,-0.015201151,0.706224247,0.808086566,0.030558837,10.238,3.811,4.523,0.0,0.000260660735
170690439282688.0,01:05:09CE,1.086128128,-0.149487616,-0.242876416,-0.05636096,-0.13238272,-0.20840448,42.991616,-31.981568,-4.456448,0.577142426,0.305314622,0.803450441,-0.284742852,2.335,2.877,6.163,0.0,5.8106369e-05
170690758049792.0,01:05:09CE,1.089273856,-0.123600896,-0.257622016,-0.03473408,-0.13303808,-0.21823488,42.991616,-31.981568,-4.456448,0.57703925,0.306038032,0.803512612,-0.283998964,2.335,2.877,6.163,0.0,0.000318767104
170691020136716.0,01:05:09CE,-0.064815104,0.026673152,-1.107034112,0.01179648,0.00524288,0.01376256,42.467328,-4.456448,-33.030144,-0.015203602,0.706221297,0.808088963,0.03056243,10.247,3.815,4.524,0.0,0.000262086924
